scenario,method,acc_retain_unlearn,acc_forget_unlearn,acc_test_unlearn,acc_retain_orig,acc_forget_orig,acc_test_orig,forget_drop,retain_drop,test_drop,UQI,KL_retain,JS_retain,KL_test,JS_test,Agree_retain,Agree_test,MIA_AUC
subset2pct,GA,0.829719387755102,0.65625,0.765,0.9993622448979592,1.0,0.9375,0.34375,0.1696428571428572,0.1725,0.1726785714285714,7.95145320892334,0.5874242782592773,1.8279610872268677,0.16866318881511688,0.829719387755102,0.745,0.4404296875
subset2pct,Fisher,0.829719387755102,0.65625,0.765,0.9993622448979592,1.0,0.9375,0.34375,0.1696428571428572,0.1725,0.1726785714285714,7.791329383850098,0.5880820155143738,1.8279592990875244,0.1686631739139557,0.829719387755102,0.745,0.4404296875
subset2pct,NegGradPlus,0.9795918367346939,0.84375,0.875,0.9993622448979592,1.0,0.9375,0.15625,0.019770408163265363,0.0625,0.11511479591836732,8.081181526184082,0.6004594564437866,1.2325917482376099,0.1121688112616539,0.9795918367346939,0.85,0.33984375
subset2pct,CF-k1,0.9891581632653061,0.96875,0.855,0.9993622448979592,1.0,0.9375,0.03125,0.010204081632653073,0.08250000000000002,-0.015102040816326545,8.197993278503418,0.6037274599075317,1.1824032068252563,0.10740196704864502,0.9891581632653061,0.8325,0.3671875
subset2pct,EU-k1,1.0,0.875,0.95,0.9993622448979592,1.0,0.9375,0.125,-0.0006377551020407823,-0.012499999999999956,0.13156887755102037,8.182341575622559,0.6032265424728394,0.5847013592720032,0.06153184548020363,1.0,0.9275,0.322265625
subset2pct,SCRUB,0.9993622448979592,1.0,0.9175,0.9993622448979592,1.0,0.9375,0.0,0.0,0.020000000000000018,-0.010000000000000009,8.178556442260742,0.6059037446975708,0.7722075581550598,0.0726906955242157,0.9993622448979592,0.905,0.4873046875
subset2pct,SCRUB(+R),0.9993622448979592,1.0,0.9275,0.9993622448979592,1.0,0.9375,0.0,0.0,0.010000000000000009,-0.0050000000000000044,8.195890426635742,0.6071107387542725,0.6923925876617432,0.06731530278921127,0.9993622448979592,0.915,0.486328125
subset2pct,Certified,0.9993622448979592,1.0,0.935,0.9993622448979592,1.0,0.9375,0.0,0.0,0.0024999999999999467,-0.0012499999999999734,8.2015962600708,0.6043442487716675,0.5871832370758057,0.06053709238767624,0.9993622448979592,0.915,0.4482421875
subset2pct,Q-MUL,0.9993622448979592,0.96875,0.9325,0.9993622448979592,1.0,0.9375,0.03125,0.0,0.0050000000000000044,0.028749999999999998,8.146846771240234,0.599876880645752,0.6147750616073608,0.06388215720653534,0.9993622448979592,0.915,0.474609375
subset2pct,LCA,0.9974489795918368,0.25,0.9125,0.9993622448979592,1.0,0.9375,0.75,0.001913265306122458,0.025000000000000022,0.7365433673469388,8.078378677368164,0.6019710898399353,1.0084933042526245,0.08755606412887573,0.9974489795918368,0.8975,0.0
subset2pct,ADV-UNIFORM,0.9974489795918368,0.9375,0.91,0.9993622448979592,1.0,0.9375,0.0625,0.001913265306122458,0.02749999999999997,0.047793367346938787,8.161418914794922,0.6011738181114197,0.955858051776886,0.08206824958324432,0.9974489795918368,0.89,0.3837890625
fullclass,GA,0.36736111111111114,0.00625,0.34,0.9993055555555556,1.0,0.9375,0.99375,0.6319444444444444,0.5974999999999999,0.37902777777777785,4.710307598114014,0.5144699811935425,3.260411262512207,0.3514394462108612,0.3680555555555556,0.355,
fullclass,Fisher,0.4131944444444444,0.0125,0.3825,0.9993055555555556,1.0,0.9375,0.9875,0.5861111111111111,0.5549999999999999,0.41694444444444456,4.9677205085754395,0.5267226696014404,2.7891974449157715,0.3143358826637268,0.4131944444444444,0.42,
fullclass,NegGradPlus,0.9368055555555556,0.0,0.78,0.9993055555555556,1.0,0.9375,1.0,0.0625,0.15749999999999997,0.89,5.4180498123168945,0.5720164775848389,1.115224003791809,0.1524304449558258,0.9375,0.775,
fullclass,CF-k1,0.63125,0.225,0.4975,0.9993055555555556,1.0,0.9375,0.775,0.3680555555555556,0.44,0.37097222222222226,4.759724140167236,0.5258206129074097,2.4551773071289062,0.2736627757549286,0.6305555555555555,0.5,
fullclass,EU-k1,1.0,0.0,0.835,0.9993055555555556,1.0,0.9375,1.0,-0.000694444444444442,0.10250000000000004,0.9490972222222223,5.586781978607178,0.5716650485992432,0.6543186902999878,0.09179748594760895,0.9993055555555556,0.8325,
fullclass,SCRUB,0.85625,0.08125,0.6975,0.9993055555555556,1.0,0.9375,0.91875,0.1430555555555556,0.24,0.7272222222222222,5.2063374519348145,0.5516883730888367,1.7376272678375244,0.18991488218307495,0.8555555555555555,0.69,
fullclass,SCRUB(+R),0.9270833333333334,0.275,0.7475,0.9993055555555556,1.0,0.9375,0.725,0.07222222222222219,0.18999999999999995,0.5938888888888889,5.250932693481445,0.5590471029281616,1.4391484260559082,0.1614353060722351,0.9263888888888889,0.7325,
fullclass,Certified,0.9993055555555556,1.0,0.94,0.9993055555555556,1.0,0.9375,0.0,0.0,-0.0024999999999999467,0.0012499999999999734,5.7255778312683105,0.5844354629516602,1.1103599071502686,0.1323946863412857,0.9986111111111111,0.8125,
fullclass,Q-MUL,0.9993055555555556,1.0,0.9375,0.9993055555555556,1.0,0.9375,0.0,0.0,0.0,0.0,5.592752456665039,0.5808528661727905,1.1077648401260376,0.13156546652317047,0.9986111111111111,0.8175,
fullclass,LCA,0.9993055555555556,0.0,0.8475,0.9993055555555556,1.0,0.9375,1.0,0.0,0.08999999999999997,0.9550000000000001,5.535618782043457,0.5687696933746338,0.6216398477554321,0.09144017100334167,0.9986111111111111,0.8325,
fullclass,ADV-UNIFORM,0.9659722222222222,0.0,0.825,0.9993055555555556,1.0,0.9375,1.0,0.033333333333333326,0.11250000000000004,0.9270833333333333,5.409523010253906,0.5622543692588806,0.929246187210083,0.11749748885631561,0.9652777777777778,0.7975,
